Field;anno;value
danceability;2017;0.63226
energy;2017;0.68632
valence;2017;0.480479
acousticness;2017;0.176197926
instrumentalness;2017;0.00855489
danceability;2018;0.66446
energy;2018;0.68878
valence;2018;0.533602
acousticness;2018;0.1772304
instrumentalness;2018;0.0030104387
danceability;2019;0.64574
energy;2019;0.61228
valence;2019;0.451118
acousticness;2019;0.2601509
instrumentalness;2019;0.0061677167
danceability;2020;0.57088
energy;2020;0.58668
valence;2020;0.374983
acousticness;2020;0.3254674
instrumentalness;2020;0.0119454831
